,house_type,price,address,square,object_type,latitude,longitude,year_of_construction,building_type,rooms,sauna
0,"Kerrostalo, 1963",2510,"Ukonvaaja 1, Tapiola, Espoo",68.0,3h+ak+kph+p,60.1854487,24.79220038176058,1963.0,Kerrostalo,3,False
1,Kerrostalo,0,"Sepetlahdentie 2-4, Matinkylä, Espoo",76.0,3h + k + p,60.1528224,24.7445179,,Kerrostalo,3,False
2,"Kerrostalo, 2010",2511,"Valurinkuja 2, Leppävaara, Espoo",56.0,2h+k+kph+s+wc+p,60.2206526,24.813780821890987,2010.0,Kerrostalo,2,True
3,"Kerrostalo, 1952",2357,"Otaranta 6, Espoo",84.0,3h+k+kph+wc,60.1842703,24.835085517297166,1952.0,Kerrostalo,3,False
4,"Kerrostalo, 1966",1928,"Elosalamantie 2, Tapiola, Espoo",45.0,2h+ak+kph,60.1720501,24.8084403,1966.0,Kerrostalo,2,False
5,Kerrostalo,1705,"Reviisorinkatu 10, Espoon Keskus, Espoo",40.0,2h + avok,60.2060681,24.667546753218964,,Kerrostalo,2,False
6,Kerrostalo,1240,"Reviisorinkatu 10, Espoon Keskus, Espoo",25.0,1h + avok,60.2060681,24.667546753218964,,Kerrostalo,1,False
8,"Kerrostalo, 2015",1194,"Porarinkatu 1, Leppävaara, Espoo",20.0,1h+ak+kph+yhteistilat,60.2251893,24.8213541,2015.0,Kerrostalo,1,True
9,"Kerrostalo, 1966",1928,"Elosalamantie 2, Tapiola, Espoo",45.0,2h+ak+kph+p,60.1720501,24.8084403,1966.0,Kerrostalo,2,False
10,"Kerrostalo, 1972",1288,"Yläkartanontie 28, Soukka, Espoo",35.0,1h+k+kph+p,60.1414385,24.6692972,1972.0,Kerrostalo,1,False
11,"Kerrostalo, 1969",1957,"Karakalliontie 5, Karakallio, Espoo",71.0,3h+k+wc+p,60.2271631,24.7641781,1969.0,Kerrostalo,3,False
12,"Kerrostalo, 2011",925,"Piilipuuntie 21 E, Suurpelto, Espoo",55.5,2 h+kk+s,60.1858108,24.7397412,2011.0,Kerrostalo,2,True
13,"Kerrostalo, 2015",1053,"Porarinkatu 1, Leppävaara, Espoo",14.0,1h+kph+yhteistilat,60.2251893,24.8213541,2015.0,Kerrostalo,1,True
14,Kerrostalo,932,"Porarinkatu 3, Leppävaara, Espoo",21.0,1h+1minik+kph+wc,60.2253557,24.8203775,,Kerrostalo,1,False
15,"Kerrostalo, 2019",1500,"Kaarlo Sarkian katu 10 B 67, Leppävaara Vermonniitty, Espoo",43.0,kalustettu koti / furnished home: 2h + avok + p,60.2150821,24.8341062,2019.0,Kerrostalo,2,True
16,"Kerrostalo, 2012",860,"Piilipuuntie 25, Suurpelto, Espoo",43.5,2H+KT,60.1886844,24.738878867013028,2012.0,Kerrostalo,2,False
17,"Kerrostalo, 2012",770,"Piilipuuntie 25, Suurpelto, Espoo",36.5,1H+KK,60.1886844,24.738878867013028,2012.0,Kerrostalo,1,False
18,"Kerrostalo, 2012",860,"Piilipuuntie 25, Suurpelto, Espoo",43.5,2H+KT,60.1886844,24.738878867013028,2012.0,Kerrostalo,2,False
19,"Kerrostalo, 2020",2240,"Tynnyritie 1, Matinkylä, Espoo",27.0,1h + kk + p,60.1593837,24.7367866,2020.0,Kerrostalo,1,False
20,"Kerrostalo, 2020",2408,"Tynnyritie 1, Matinkylä, Espoo",44.0,2h + avok + p,60.1593837,24.7367866,2020.0,Kerrostalo,2,False
21,"Kerrostalo, 2020",2940,"Tynnyritie 1, Matinkylä, Espoo",68.0,3h + avok + p,60.1593837,24.7367866,2020.0,Kerrostalo,3,False
22,"Kerrostalo, 2020",3108,"Tynnyritie 1, Matinkylä, Espoo",80.0,4h + avok + s + p,60.1593837,24.7367866,2020.0,Kerrostalo,4,True
23,Kerrostalo,1620,"Kala-Maija 4, Matinkylä, Espoo",50.0,2h + avok + s + p,60.15869635,24.740235595071965,,Kerrostalo,2,True
24,Kerrostalo,563,"Aallonhuippu 4, Espoonlahti, Espoo",9.0,1h+jaettu kph+yhteistilat,60.15103405,24.637746940553647,,Kerrostalo,1,True
25,"Kerrostalo, 2012",795,"Piilipuuntie 31, Suurpelto, Espoo",40.5,1H+KT,60.189452,24.7381062,2012.0,Kerrostalo,1,False
26,"Kerrostalo, 2012",868,"Piilipuuntie 31, Suurpelto, Espoo",45.5,2H+KK,60.189452,24.7381062,2012.0,Kerrostalo,2,False
