Unnamed: 0,house_type,price,address,square,object_type,price_per_square,year_of_construction,building_type,rooms,sauna,latitude,longitude
0,"Appartement, 1986",110518,"92 Quai Perrache, Lyon",81.4,3 pièces,1358,1986.0,Appartement,3,False,45.8359511,4.9274702
1,"Maison jumelée, 1998",585119,"25 Quai Saint-Antoine, Lyon",23.3,"3 pièces, terrasse",25112,1998.0,Maison jumelée,3,False,45.837063,4.945349
2,"Studio, 2016",495126,"8 Avenue Jean Jaurès, Lyon",32.2,5 pièces,15377,2016.0,Studio,5,False,45.7612066,4.8266601
3,"Résidence de standing, 2011",386838,"13 Rue de Marseille, Lyon",94.2,"2 pièces, balcon",4107,2011.0,Résidence de standing,2,False,45.8502117,4.8092535
4,"Maison individuelle, 2006",439104,"17 Rue Pasteur, Lyon",75.5,Studio,5816,2006.0,Maison individuelle,2,False,45.8110698,4.9442404
5,"Appartement, 2010",124996,"10 Rue de la République, Lyon",119.1,Studio,1050,2010.0,Appartement,2,False,45.7574474,4.7602824
6,"Studio, 2006",304079,"4 Place Bellecour, Lyon",55.7,1 pièce,5459,2006.0,Studio,1,False,45.77469,4.7904771
7,"Appartement, 1998",137244,"13 Rue de Marseille, Lyon",58.8,5 pièces,2334,1998.0,Appartement,5,False,45.7258353,4.8286874
8,"Immeuble, 1998",782408,"4 Place Bellecour, Lyon",42.3,"4 pièces, jardin",18497,1998.0,Immeuble,4,False,45.6903064,4.7574361
9,"Résidence de standing, 2024",587449,"5 Rue Garibaldi, Lyon",58.1,"4 pièces, jardin",10111,2024.0,Résidence de standing,4,False,45.840467,4.9047167
10,"Studio, 1985",218835,"4 Place Bellecour, Lyon",92.9,"4 pièces, parking",2356,1985.0,Studio,4,False,45.7512889,4.784314
11,"Immeuble, 1996",648685,"4 Place Bellecour, Lyon",71.7,2 pièces,9047,1996.0,Immeuble,2,False,45.7147058,4.7778527
12,"Résidence étudiante, 1998",421936,"4 Place Bellecour, Lyon",22.0,"3 pièces, terrasse",19179,1998.0,Résidence étudiante,3,False,45.8667205,4.8202274
13,"Loft, 2006",746858,"27 Rue du Président Édouard Herriot, Lyon",109.0,4 pièces,6852,2006.0,Loft,4,False,45.8293447,4.7651631
14,"Résidence étudiante, 2019",750823,"92 Quai Perrache, Lyon",54.9,4 pièces,13676,2019.0,Résidence étudiante,4,False,45.6938396,4.7812728
15,"Maison individuelle, 1987",385404,"92 Quai Perrache, Lyon",83.5,"5 pièces, duplex",4616,1987.0,Maison individuelle,5,False,45.7580084,4.8594959
16,"Résidence de standing, 1973",603725,"27 Rue du Président Édouard Herriot, Lyon",102.4,5 pièces,5896,1973.0,Résidence de standing,5,False,45.7986824,4.794096
17,"Maison de ville, 2012",313997,"17 Rue Pasteur, Lyon",93.9,"3 pièces, terrasse",3344,2012.0,Maison de ville,3,False,45.768054,4.9376371
18,"Résidence de standing, 2004",309080,"25 Quai Saint-Antoine, Lyon",84.5,5 pièces,3658,2004.0,Résidence de standing,5,False,45.8433945,4.7939753
